sample_id,sample_name,haplotype,phasing,assembly_method,assembly_method_version,assembly_date,assembly_name,source,genbank_accession,assembly_md5,assembly_fai,assembly_gzi,assembly
HG03516_hap1,HG03516,1,trio,hifiasm,0.19.9,2024-09,HG03516_pat_hprc_r2_v1.1.0,hprc,GCA_018469415.2,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03516/assemblies/freeze_2/HG03516_pat_hprc_r2_v1.1.0.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03516/assemblies/freeze_2/HG03516_pat_hprc_r2_v1.1.0.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03516/assemblies/freeze_2/HG03516_pat_hprc_r2_v1.1.0.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03516/assemblies/freeze_2/HG03516_pat_hprc_r2_v1.1.0.fa.gz
HG00706_hap1,HG00706,1,trio,hifiasm,0.19.9,2024-09,HG00706_pat_hprc_r2_v1.0.1,hprc,GCA_046116065.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_pat_hprc_r2_v1.0.1.fa.gz
HG03816_hap1,HG03816,1,trio,hifiasm,0.19.9,2024-09,HG03816_pat_hprc_r2_v1.0.1,hprc,GCA_046116025.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_pat_hprc_r2_v1.0.1.fa.gz
NA19159_hap1,NA19159,1,hic,hifiasm,0.19.9,2024-09,NA19159_hap1_hprc_r2_v1.0.1,hprc,GCA_046056445.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap1_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap1_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap1_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap1_hprc_r2_v1.0.1.fa.gz
HG01786_hap1,HG01786,1,hic,hifiasm,0.19.9,2024-09,HG01786_hap1_hprc_r2_v1.0.1,hprc,GCA_042076995.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap1_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap1_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap1_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap1_hprc_r2_v1.0.1.fa.gz
HG02392_hap1,HG02392,1,hic,hifiasm,0.19.9,2024-09,HG02392_hap1_hprc_r2_v1.0.1,hprc,GCA_046043155.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap1_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap1_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap1_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap1_hprc_r2_v1.0.1.fa.gz
HG02514_hap1,HG02514,1,trio,hifiasm,0.19.9,2024-10,HG02514_pat_hprc_r2_v1.0.1,hprc,GCA_045523115.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_pat_hprc_r2_v1.0.1.fa.gz
HG02841_hap1,HG02841,1,trio,hifiasm,0.19.9,2024-10,HG02841_pat_hprc_r2_v1.0.1,hprc,GCA_045523135.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_pat_hprc_r2_v1.0.1.fa.gz
HG02984_hap1,HG02984,1,trio,hifiasm,0.19.9,2024-10,HG02984_pat_hprc_r2_v1.0.1,hprc,GCA_045524125.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_pat_hprc_r2_v1.0.1.fa.gz
HG03050_hap1,HG03050,1,trio,hifiasm,0.19.9,2024-10,HG03050_pat_hprc_r2_v1.0.1,hprc,GCA_045524245.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_pat_hprc_r2_v1.0.1.fa.gz
NA20799_hap1,NA20799,1,hic,hifiasm,0.19.9,2024-10,NA20799_hap1_hprc_r2_v1.0.1,hprc,GCA_045523085.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap1_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap1_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap1_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap1_hprc_r2_v1.0.1.fa.gz
HG00733_hap1,HG00733,1,trio,hifiasm,0.19.9,2024-10,HG00733_pat_hprc_r2_v1.0.1,hprc,GCA_018506955.2,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00733/assemblies/freeze_2/HG00733_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00733/assemblies/freeze_2/HG00733_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00733/assemblies/freeze_2/HG00733_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00733/assemblies/freeze_2/HG00733_pat_hprc_r2_v1.0.1.fa.gz
HG01243_hap1,HG01243,1,trio,hifiasm,0.19.9,2024-10,HG01243_pat_hprc_r2_v1.0.1,hprc,GCA_018504045.2,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_pat_hprc_r2_v1.0.1.fa.gz
NA19240_hap1,NA19240,1,trio,hifiasm,0.19.9,2024-10,NA19240_pat_hprc_r2_v1.0.1,hprc,GCA_018503265.2,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19240/assemblies/freeze_2/NA19240_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19240/assemblies/freeze_2/NA19240_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19240/assemblies/freeze_2/NA19240_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19240/assemblies/freeze_2/NA19240_pat_hprc_r2_v1.0.1.fa.gz
HG005_hap1,HG005,1,trio,hifiasm,0.19.9,2024-12,HG005_pat_hprc_r2_v1.0.1,hprc,GCA_018506945.2,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG005/assemblies/freeze_2/HG005_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG005/assemblies/freeze_2/HG005_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG005/assemblies/freeze_2/HG005_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG005/assemblies/freeze_2/HG005_pat_hprc_r2_v1.0.1.fa.gz
HG01975_hap2,HG01975,2,trio,hifiasm,0.19.7,2024-12,HG01975_mat_hprc_r2_v1.0.1,hprc,GCA_045999905.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_mat_hprc_r2_v1.0.1.fa.gz
HG02602_hap2,HG02602,2,trio,hifiasm,0.19.9,2024-12,HG02602_mat_hprc_r2_v1.0.1,hprc,GCA_046000055.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02602/assemblies/freeze_2/HG02602_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02602/assemblies/freeze_2/HG02602_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02602/assemblies/freeze_2/HG02602_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02602/assemblies/freeze_2/HG02602_mat_hprc_r2_v1.0.1.fa.gz
HG04187_hap2,HG04187,2,trio,hifiasm,0.19.9,2024-12,HG04187_mat_hprc_r2_v1.0.1,hprc,GCA_045999925.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04187/assemblies/freeze_2/HG04187_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04187/assemblies/freeze_2/HG04187_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04187/assemblies/freeze_2/HG04187_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04187/assemblies/freeze_2/HG04187_mat_hprc_r2_v1.0.1.fa.gz
