sample_id,accession,study,bioproject_accession,biosample_accession,filename,filetype,path,data_type,total_reads,ntsm_score,production,title,design_description,generator_facility,generator_contact,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,basecaller_version,ccs_algorithm,cell_type,platform_unit_1,platform_unit_2,barcode,iso_library_id,iso_filename,pool,similarity,pbtrim_version,jasmine_version,lima_version,refine_version,check-flnc reads
HG01175,,SRP305758,PRJNA701308,,HG01175.lymph.m84046_240717_105141_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_Kinnex/HG01175.lymph.m84046_240717_105141_s2.flnc.bam,bam,8058598,0.202408,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01175.lymph.m84046_240717_105141_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_105141_s2,,bc02,HPRC_Pool002.KN,flnc-2.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01928,,SRP305758,PRJNA701308,,HG01928.lymph.m84046_240713_071511_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_Kinnex/HG01928.lymph.m84046_240713_071511_s3.flnc.bam,bam,7276818,0.156815,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01928.lymph.m84046_240713_071511_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_071511_s3,,bc11,HPRC_Pool002.KN,flnc-7.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01928,,SRP305758,PRJNA701308,,HG01928.lymph.m84046_240717_105141_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_Kinnex/HG01928.lymph.m84046_240717_105141_s2.flnc.bam,bam,7145440,0.159928,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01928.lymph.m84046_240717_105141_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_105141_s2,,bc11,HPRC_Pool002.KN,flnc-7.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01952,,SRP305758,PRJNA701308,,HG01952.lymph.m84046_240713_071511_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_Kinnex/HG01952.lymph.m84046_240713_071511_s3.flnc.bam,bam,7805857,0.175432,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01952.lymph.m84046_240713_071511_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_071511_s3,,bc12,HPRC_Pool002.KN,flnc-8.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01952,,SRP305758,PRJNA701308,,HG01952.lymph.m84046_240717_105141_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_Kinnex/HG01952.lymph.m84046_240717_105141_s2.flnc.bam,bam,7662103,0.171525,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01952.lymph.m84046_240717_105141_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_105141_s2,,bc12,HPRC_Pool002.KN,flnc-8.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01978,,SRP305758,PRJNA701308,,HG01978.lymph.m84046_240713_071511_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_Kinnex/HG01978.lymph.m84046_240713_071511_s3.flnc.bam,bam,7723751,0.186136,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01978.lymph.m84046_240713_071511_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_071511_s3,,bc10,HPRC_Pool002.KN,flnc-6.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01978,,SRP305758,PRJNA701308,,HG01978.lymph.m84046_240717_105141_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_Kinnex/HG01978.lymph.m84046_240717_105141_s2.flnc.bam,bam,7581179,0.185434,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01978.lymph.m84046_240717_105141_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_105141_s2,,bc10,HPRC_Pool002.KN,flnc-6.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02027,,SRP305758,PRJNA701308,,HG02027.lymph.m84046_240713_051553_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_Kinnex/HG02027.lymph.m84046_240713_051553_s2.flnc.bam,bam,5600881,0.178678,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02027.lymph.m84046_240713_051553_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_051553_s2,,bc06,HPRC_Pool001.KN,flnc-6.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02027,,SRP305758,PRJNA701308,,HG02027.lymph.m84046_240722_012946_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_Kinnex/HG02027.lymph.m84046_240722_012946_s4.flnc.bam,bam,6140859,0.171512,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02027.lymph.m84046_240722_012946_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240722_012946_s4,,bc06,HPRC_Pool001.KN,flnc-6.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02071,,SRP305758,PRJNA701308,,HG02071.lymph.m84046_240713_091428_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240713_091428_s4.flnc.bam,bam,6651858,0.187661,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02071.lymph.m84046_240713_091428_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_091428_s4,,bc10,HPRC_Pool003.KN,flnc-6.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02071,,SRP305758,PRJNA701308,,HG02071.lymph.m84046_240717_125059_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240717_125059_s3.flnc.bam,bam,8168841,0.189606,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02071.lymph.m84046_240717_125059_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_125059_s3,,bc10,HPRC_Pool003.KN,flnc-6.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02074,,SRP305758,PRJNA701308,,HG02074.lymph.m84046_240713_051553_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240713_051553_s2.flnc.bam,bam,5535067,0.175062,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02074.lymph.m84046_240713_051553_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_051553_s2,,bc07,HPRC_Pool001.KN,flnc-7.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02074,,SRP305758,PRJNA701308,,HG02074.lymph.m84046_240722_012946_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240722_012946_s4.flnc.bam,bam,6066981,0.170779,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02074.lymph.m84046_240722_012946_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240722_012946_s4,,bc07,HPRC_Pool001.KN,flnc-7.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02083,,SRP305758,PRJNA701308,,HG02083.lymph.m84046_240713_091428_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_Kinnex/HG02083.lymph.m84046_240713_091428_s4.flnc.bam,bam,6394842,0.172237,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02083.lymph.m84046_240713_091428_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_091428_s4,,bc07,HPRC_Pool003.KN,flnc-3.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02083,,SRP305758,PRJNA701308,,HG02083.lymph.m84046_240717_125059_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_Kinnex/HG02083.lymph.m84046_240717_125059_s3.flnc.bam,bam,7887715,0.160398,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02083.lymph.m84046_240717_125059_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_125059_s3,,bc07,HPRC_Pool003.KN,flnc-3.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02132,,SRP305758,PRJNA701308,,HG02132.lymph.m84046_240713_051553_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_Kinnex/HG02132.lymph.m84046_240713_051553_s2.flnc.bam,bam,6399154,0.189659,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02132.lymph.m84046_240713_051553_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_051553_s2,,bc02,HPRC_Pool001.KN,flnc-2.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG02132,,SRP305758,PRJNA701308,,HG02132.lymph.m84046_240722_012946_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_Kinnex/HG02132.lymph.m84046_240722_012946_s4.flnc.bam,bam,7010005,0.196468,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG02132.lymph.m84046_240722_012946_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240722_012946_s4,,bc02,HPRC_Pool001.KN,flnc-2.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
