sample_id,accession,study,bioproject_accession,biosample_accession,filename,filetype,path,data_type,coverage,deepconsensus_coverage,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,production,design_description,notes,generator_facility,generator_contact,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,basecaller,basecaller_version,ccs_algorithm,lima_version,lima_float_version,primrose_version,primrose_filename,deepconsensus_filename,deepconsensus_path,mm_tag,mm_review,mm_remove,ML_tag,all_kinetics_flag,keep_kinetics_flag,hifi_kinetics_tag,PP_PRIMROSE,fi_tag,ri_tag,fp_tag,rp_tag
HG00126,SRR29483149,SRP305758,PRJNA701308,SAMN41021637,m84046_230621_231827_s1.hifi_reads.bc2043.bam,bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam,unaligned reads with 5mC,17.9,,2592602.0,55422349206.0,55.42,21377.0,101.0,61779.0,19066.0,21223.0,24390.0,18665.0,20584.0,23411.0,0.550802,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00126.HFSS_m84046_230621_231827_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00126,SRR29483145,SRP305758,PRJNA701308,SAMN41021637,m84046_230621_234848_s2.hifi_reads.bc2043.bam,bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam,unaligned reads with 5mC,19.2,,2781508.0,59614431287.0,59.61,21432.0,87.0,61977.0,19090.0,21277.0,24496.0,18681.0,20624.0,23493.0,0.497169,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00126.HFSS_m84046_230621_234848_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00128,SRR29483093,SRP305758,PRJNA701308,SAMN41021641,m84046_230602_203207_s4.hifi_reads.bc2044.bam,bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam,unaligned reads with 5mC,10.7,,1751436.0,33229202038.0,33.23,18972.0,146.0,56094.0,17354.0,18894.0,20960.0,17118.0,18544.0,20490.0,0.589215,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00128.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00128,SRR29483094,SRP305758,PRJNA701308,SAMN41021641,m84046_230617_043254_s3.hifi_reads.bc2044.bam,bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam,unaligned reads with 5mC,13.9,,2301584.0,43116301374.0,43.12,18733.0,124.0,54809.0,17205.0,18656.0,20611.0,16984.0,18337.0,20173.0,0.551591,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00128.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00128,SRR29483092,SRP305758,PRJNA701308,SAMN41021641,m84046_230617_050400_s4.hifi_reads.bc2044.bam,bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2044.bam,unaligned reads with 5mC,15.2,,2502838.0,46970020324.0,46.97,18766.0,67.0,55452.0,17223.0,18688.0,20659.0,17002.0,18364.0,20215.0,0.53878,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00128.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00128,SRR29483091,SRP305758,PRJNA701308,SAMN41021641,m84046_230630_233157_s3.bc2069--bc2069.bam,bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2069--bc2069.bam,unaligned reads with 5mC,26.5,,4759375.0,82225293457.0,82.23,17276.0,120.0,51374.0,15407.0,17139.0,19609.0,15138.0,16658.0,18930.0,0.538261,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00128.HFSS2_m84046_230630_233157_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00133,SRR29483106,SRP305758,PRJNA701308,SAMN41021638,m84046_230602_203207_s4.hifi_reads.bc2045.bam,bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2045.bam,unaligned reads with 5mC,10.2,,1299153.0,31577829326.0,31.58,24306.0,355.0,72239.0,21625.0,24531.0,28292.0,20931.0,23631.0,27114.0,0.571598,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00133.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00133,SRR29483109,SRP305758,PRJNA701308,SAMN41021638,m84046_230617_043254_s3.hifi_reads.bc2045.bam,bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2045.bam,unaligned reads with 5mC,8.6,,1129803.0,26568174953.0,26.57,23515.0,204.0,63763.0,21024.0,23704.0,27160.0,20391.0,22908.0,26092.0,0.539217,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00133.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00133,SRR29483108,SRP305758,PRJNA701308,SAMN41021638,m84046_230617_050400_s4.hifi_reads.bc2045.bam,bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2045.bam,unaligned reads with 5mC,9.7,,1269426.0,30053356453.0,30.05,23674.0,496.0,71360.0,21132.0,23874.0,27395.0,20482.0,23047.0,26301.0,0.542581,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00133.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00133,SRR29483110,SRP305758,PRJNA701308,SAMN41021638,m84046_230621_231827_s1.hifi_reads.bc2045.bam,bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam,unaligned reads with 5mC,14.3,,1877396.0,44444296421.0,44.44,23673.0,129.0,66619.0,21149.0,23887.0,27366.0,20500.0,23070.0,26294.0,0.544246,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00133.HFSS_m84046_230621_231827_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00133,SRR29483105,SRP305758,PRJNA701308,SAMN41021638,m84046_230621_234848_s2.hifi_reads.bc2045.bam,bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2045.bam,unaligned reads with 5mC,15.6,,2031393.0,48277281549.0,48.28,23765.0,131.0,66274.0,21210.0,23986.0,27519.0,20553.0,23142.0,26421.0,0.520236,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00133.HFSS_m84046_230621_234848_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00133,SRR29483107,SRP305758,PRJNA701308,SAMN41021638,m84046_230719_001055_s4.hifi_reads.bc2085.bam,bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2085.bam,unaligned reads with 5mC,7.6,,1079223.0,23522900809.0,23.52,21796.0,96.0,67080.0,19292.0,21676.0,25074.0,18839.0,20947.0,24008.0,0.598542,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00133.HFSS2_m84046_230719_001055_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00140,SRR23732295,SRP305758,PRJNA701308,SAMN33621941,m64043_220728_173215-bc1018.fixed_kinetics.hifi_reads.bam,bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/wMods/m64043_220728_173215-bc1018.fixed_kinetics.hifi_reads.bam,unaligned reads with 5mC,3.3,,517275.0,10233445025.0,10.23,19783.0,51.0,53341.0,18131.0,19724.0,21738.0,17853.0,19373.0,21259.0,0.663237,r2-limma-patch,HiFi sequencing of 20kb fractionated gDNA,file.list name: m64043_220728_173215-bc1018.5mc.hifi_reads.kinetics_trimmed.5mc.bam; original unfixed file in working: m64043_220728_173215-bc1018.5mc.hifi_reads.bam; to be released,Washington University,tgraves@wustl.edu,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,PacBio Sequel II,C2,P2.2,ccs,6.0.0,6.0.0,,,1.3.0,,,,True,,,True,True,True,False,True,True,True,True,True
HG00140,SRR23732295,SRP305758,PRJNA701308,SAMN33621941,m64136_220715_182717-bc1018.fixed_kinetics.hifi_reads.bam,bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/wMods/m64136_220715_182717-bc1018.fixed_kinetics.hifi_reads.bam,unaligned reads with 5mC,10.4,,1465069.0,32183433807.0,32.18,21967.0,199.0,72755.0,19094.0,21721.0,25959.0,18553.0,20771.0,24326.0,0.597848,r2-limma-patch,HiFi sequencing of 20kb fractionated gDNA,file.list name: m64136_220715_182717-bc1018.5mc.hifi_reads.kinetics_trimmed.5mc.bam; original unfixed file in working: m64136_220715_182717-bc1018.5mc.hifi_reads.bam; to be released,Washington University,tgraves@wustl.edu,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,PacBio Sequel II,C2,P2.2,ccs,6.0.0,6.0.0,,,1.3.0,,,,True,,,True,True,True,False,True,True,True,True,True
HG00140,SRR23732295,SRP305758,PRJNA701308,SAMN33621941,m64136_220717_152248-bc1018.fixed_kinetics.hifi_reads.bam,bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/wMods/m64136_220717_152248-bc1018.fixed_kinetics.hifi_reads.bam,unaligned reads with 5mC,11.0,,1550035.0,34068521767.0,34.07,21979.0,51.0,68045.0,19100.0,21722.0,25987.0,18559.0,20771.0,24336.0,0.581098,r2-limma-patch,HiFi sequencing of 20kb fractionated gDNA,file.list name: m64136_220717_152248-bc1018.5mc.hifi_reads.kinetics_trimmed.5mc.bam; original unfixed file in working: m64136_220717_152248-bc1018.5mc.hifi_reads.bam; to be released,Washington University,tgraves@wustl.edu,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,PacBio Sequel II,C2,P2.2,ccs,6.0.0,6.0.0,,,1.3.0,,,,True,,,True,True,True,False,True,True,True,True,True
HG00140,SRR23732295,SRP305758,PRJNA701308,SAMN33621941,m64136_220719_122056-bc1018.fixed_kinetics.hifi_reads.bam,bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/wMods/m64136_220719_122056-bc1018.fixed_kinetics.hifi_reads.bam,unaligned reads with 5mC,10.9,,1547133.0,33866031514.0,33.87,21889.0,137.0,73370.0,19047.0,21631.0,25828.0,18518.0,20699.0,24213.0,0.564273,r2-limma-patch,HiFi sequencing of 20kb fractionated gDNA,file.list name: m64136_220719_122056-bc1018.5mc.hifi_reads.kinetics_trimmed.5mc.bam; original unfixed file in working: m64136_220719_122056-bc1018.5mc.hifi_reads.bam; to be released,Washington University,tgraves@wustl.edu,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,PacBio Sequel II,C2,P2.2,ccs,6.0.0,6.0.0,,,1.3.0,,,,True,,,True,True,True,False,True,True,True,True,True
HG00140,,SRP305758,PRJNA701308,,m84081_230628_194051_s3.hifi_reads.bc1018.bam,bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_194051_s3.hifi_reads.bc1018.bam,unaligned reads with 5mC,9.6,,1456225.0,29738949475.0,29.74,20421.0,307.0,58382.0,18360.0,20178.0,22789.0,18021.0,19687.0,21981.0,0.599508,WUSTL_HPRC_HiFi_Year3_TopUp,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00140,,SRP305758,PRJNA701308,,m84081_230628_201157_s4.hifi_reads.bc1018.bam,bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_201157_s4.hifi_reads.bc1018.bam,unaligned reads with 5mC,10.2,,1538629.0,31578187956.0,31.58,20523.0,216.0,64079.0,18409.0,20255.0,22952.0,18060.0,19748.0,22092.0,0.589587,WUSTL_HPRC_HiFi_Year3_TopUp,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00146,SRR29396881,SRP305758,PRJNA701308,SAMN41021634,m84081_230616_182824_s3.hifi_reads.bc2013.bam,bam,s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_182824_s3.hifi_reads.bc2013.bam,unaligned reads with 5mC,36.5,,5556039.0,113249664653.0,113.25,20383.0,104.0,60682.0,18565.0,20268.0,22546.0,18255.0,19863.0,21947.0,0.533115,WUSTL_HPRC_HiFi_Year4,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,HG00146_lib1_m84081_230616_182824_s3_m84081_230616_182824_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00146,SRR29396855,SRP305758,PRJNA701308,SAMN41021634,m84081_230616_185930_s4.hifi_reads.bc2013.bam,bam,s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_185930_s4.hifi_reads.bc2013.bam,unaligned reads with 5mC,36.1,,5506717.0,112060886510.0,112.06,20349.0,67.0,58620.0,18538.0,20235.0,22498.0,18230.0,19832.0,21906.0,0.531688,WUSTL_HPRC_HiFi_Year4,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,HG00146_lib1_m84081_230616_185930_s4_m84081_230616_185930_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
