accession,study,bioproject_accession,biosample_accession,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,shear_method,size_selection,DeepConsensus_version,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,filename,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,sample_ID,path,production,data_type,notes,MM_tag,coverage,ntsm_score,ccs_algorithm
SRR25618942,SRP305758,PRJNA701308,SAMN26237496,HG01433_lib1_dc,PacBio HiFi sequencing of HG01433 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01433.m64136_210604_175856.dc.q20.fastq.gz,1707435,37560226862,37.56,549.0,50704.0,21998,18546,20970,24721,19094,22029,25982,HG01433,s3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01433.m64136_210604_175856.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.12,,
SRR25618941,SRP305758,PRJNA701308,SAMN26237497,HG01496_lib1_dc,PacBio HiFi sequencing of HG01496 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01496.m64043_210625_184443.dc.q20.fastq.gz,1942341,42931528801,42.93,72.0,52008.0,22102,17937,20727,25163,18606,22391,26869,HG01496,s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01496.m64043_210625_184443.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.85,,
SRR25618940,SRP305758,PRJNA701308,SAMN26267393,HG01884.HFSS_dc,PacBio HiFi sequencing of HG01884 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 18kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG01884.m54329U_210713_205453.dc.q20.fastq.gz,2161915,38956115436,38.96,52.0,50680.0,18019,15315,17268,20046,15767,18008,21062,HG01884,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01884.m54329U_210713_205453.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.57,,
SRR25618939,SRP305758,PRJNA701308,SAMN26237499,HG01943_lib1_dc,PacBio HiFi sequencing of HG01943 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01943.m64043_210716_230222.dc.q20.fastq.gz,2051412,38628884223,38.63,47.0,47420.0,18830,17325,18533,20026,17499,18763,20317,HG01943,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01943.m64043_210716_230222.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.46,,
SRR25618938,SRP305758,PRJNA701308,SAMN26237500,HG01981_lib1_dc,PacBio HiFi sequencing of HG01981 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01981.m64136_210625_184731.dc.q20.fastq.gz,1681347,37762533912,37.76,43.0,50898.0,22459,20078,21713,24001,20350,22141,24686,HG01981,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210625_184731.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.18,,
SRR25618937,SRP305758,PRJNA701308,SAMN26237501,HG01993_lib1_dc,PacBio HiFi sequencing of HG01993 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01993.m64043_210620_041711.dc.q20.fastq.gz,1991485,41419254125,41.42,89.0,50166.0,20798,18670,20325,22468,18966,20732,23013,HG01993,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01993.m64043_210620_041711.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.36,,
SRR25618936,SRP305758,PRJNA701308,SAMN26237502,HG02004_lib1_dc,PacBio HiFi sequencing of HG02004 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02004.m64043_210709_205614.dc.q20.fastq.gz,1824719,35551181847,35.55,86.0,50320.0,19483,16528,18598,21773,16930,19581,22699,HG02004,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02004.m64043_210709_205614.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.47,,
SRR25618935,SRP305758,PRJNA701308,SAMN26237503,HG02027_lib1_dc,PacBio HiFi sequencing of HG02027 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02027.m64136_210205_190622.dc.q20.fastq.gz,2094313,40337574813,40.34,16.0,50720.0,19260,17135,18511,20473,17387,18895,21205,HG02027,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02027.m64136_210205_190622.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.01,,
SRR25618934,SRP305758,PRJNA701308,SAMN26237504,HG02083_lib1_dc,PacBio HiFi sequencing of HG02083 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02083.m64136_210317_200525.dc.q20.fastq.gz,1884170,37672004643,37.67,86.0,50009.0,19993,17221,18740,21980,17518,19328,23203,HG02083,s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02083.m64136_210317_200525.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.15,,
SRR25618933,SRP305758,PRJNA701308,SAMN26267382,HG02132.HFSS_dc,PacBio HiFi sequencing of HG02132 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 26kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02132.m54329U_210627_170630.dc.q20.fastq.gz,2164640,43557332636,43.56,86.0,50088.0,20122,17129,19299,22416,17624,20121,23542,HG02132,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m54329U_210627_170630.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,14.05,,
SRR25618931,SRP305758,PRJNA701308,SAMN26267382,HG02132_f345_dc,PacBio HiFi sequencing of HG02132 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,SageELF,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02132.m64076_210525_000003.dc.q20.fastq.gz,1187296,22491457239,22.49,44.0,43204.0,18943,16257,18501,21115,16606,19482,21554,HG02132,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m64076_210525_000003.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,7.26,,
SRR25618930,SRP305758,PRJNA701308,SAMN26237505,HG02280_lib1_dc,PacBio HiFi sequencing of HG02280 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02280.m64136_210716_230343.dc.q20.fastq.gz,1934280,36671653370,36.67,75.0,50785.0,18958,16186,18600,20977,16641,19256,21649,HG02280,s3://human-pangenomics/working/HPRC/HG02280/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02280.m64136_210716_230343.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.83,,
SRR25618929,SRP305758,PRJNA701308,SAMN26267394,HG02293.HFSS_dc,PacBio HiFi sequencing of HG02293 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 24kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02293.m54329U_210719_222842.dc.q20.fastq.gz,2165086,41209069839,41.21,238.0,50062.0,19033,16124,18205,21184,16605,19008,22299,HG02293,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02293.m54329U_210719_222842.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.29,,
SRR25618928,SRP305758,PRJNA701308,SAMN26267395,HG02300.HFSS_dc,PacBio HiFi sequencing of HG02300 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02300.m54329U_210702_182525.dc.q20.fastq.gz,1975132,35214964969,35.21,406.0,49956.0,17829,14742,17096,20218,15416,18066,21475,HG02300,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02300.m54329U_210702_182525.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.36,,
SRR25618927,SRP305758,PRJNA701308,SAMN26237506,HG02523_lib1_dc,PacBio HiFi sequencing of HG02523 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02523.m64043_210506_183430.dc.q20.fastq.gz,1841302,38945215832,38.95,694.0,51851.0,21150,17671,19459,23439,18087,20382,25402,HG02523,s3://human-pangenomics/working/HPRC/HG02523/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02523.m64043_210506_183430.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.56,,
SRR25618926,SRP305758,PRJNA701308,SAMN26237507,HG02602_lib1_dc,PacBio HiFi sequencing of HG02602 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02602.m64043_210612_053030.dc.q20.fastq.gz,1085381,22347076450,22.35,46.0,50008.0,20589,17743,19166,22369,18014,19736,23947,HG02602,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02602.m64043_210612_053030.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,7.21,,
SRR25618925,SRP305758,PRJNA701308,SAMN26237508,HG02615_lib1_dc,PacBio HiFi sequencing of HG02615 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02615.m64136_210528_171842.dc.q20.fastq.gz,1903550,36510082623,36.51,279.0,51228.0,19179,16624,18315,21253,16940,18942,22088,HG02615,s3://human-pangenomics/working/HPRC/HG02615/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02615.m64136_210528_171842.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.78,,
SRR25618924,SRP305758,PRJNA701308,SAMN26267383,HG02647.HFSS_dc,PacBio HiFi sequencing of HG02647 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 19kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02647.m54329U_210604_200442.dc.q20.fastq.gz,2158141,37502519109,37.5,47.0,50523.0,17377,14222,16928,20126,15169,18032,21360,HG02647,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m54329U_210604_200442.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.1,,
SRR25618922,SRP305758,PRJNA701308,SAMN26237509,HG02698_lib1_dc,PacBio HiFi sequencing of HG02698 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02698.m64043_210519_013026.dc.q20.fastq.gz,1784686,35898920612,35.9,42.0,50242.0,20114,17208,19025,22510,17572,19829,23559,HG02698,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02698.m64043_210519_013026.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.58,,
SRR25618920,SRP305758,PRJNA701308,SAMN26267396,HG02738.HFSS_dc,PacBio HiFi sequencing of HG02738 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 22kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02738.m64076_210706_214544.dc.q20.fastq.gz,1463695,27806786420,27.81,43.0,50150.0,18997,15892,18208,21413,16495,19146,22635,HG02738,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02738.m64076_210706_214544.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,8.97,,
SRR25618919,SRP305758,PRJNA701308,SAMN26237511,HG03654_lib1_dc,PacBio HiFi sequencing of HG03654 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG03654.m64043_210524_174752.dc.q20.fastq.gz,1835281,34913876902,34.91,44.0,49808.0,19023,16246,18055,21265,16586,18981,22124,HG03654,s3://human-pangenomics/working/HPRC/HG03654/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03654.m64043_210524_174752.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.26,,
SRR25618918,SRP305758,PRJNA701308,SAMN26237512,HG03669_lib1_dc,PacBio HiFi sequencing of HG03669 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG03669.m64043_210604_175624.dc.q20.fastq.gz,1814032,36055687243,36.06,647.0,50274.0,19875,17564,19839,21890,18267,20305,22419,HG03669,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03669.m64043_210604_175624.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.63,,
SRR25618917,SRP305758,PRJNA701308,SAMN26267385,HG03688.HFSS_dc,PacBio HiFi sequencing of HG03688 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 18kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG03688.m54329U_210608_221930.dc.q20.fastq.gz,1942108,34460657575,34.46,26.0,49878.0,17743,15363,17171,19623,15735,17753,20363,HG03688,s3://human-pangenomics/working/HPRC/HG03688/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03688.m54329U_210608_221930.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.12,,
SRR25618916,SRP305758,PRJNA701308,SAMN26237513,HG03710_lib1_dc,PacBio HiFi sequencing of HG03710 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG03710.m64043_210514_184131.dc.q20.fastq.gz,1777436,36341702171,36.34,45.0,50442.0,20446,17226,18989,22671,17609,19870,24124,HG03710,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03710.m64043_210514_184131.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.72,,
