sample_id,accession,study,bioproject_accession,biosample_accession,filename,filetype,path,data_type,coverage,total_bp,total_Gbp,ntsm_score,production,title,design_description,generator_facility,generator_contact,library_ID,library_strategy,library_source,library_selection,library_layout,shear_method,platform,instrument_model,assembly
HG00544,SRR30613927,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L003_R1_001.fastq.gz,unaligned reads,8.21,25442045007,25.44,0.521718,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-1-1_S1_L003_R1_001-1_S1_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00544,SRR30613916,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L004_R1_001.fastq.gz,unaligned reads,7.95,24631525119,24.63,0.482918,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-1-1_S1_L004_R1_001-1_S1_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00544,SRR30613905,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L001_R1_001.fastq.gz,unaligned reads,8.5,26340905434,26.34,0.533568,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-2-2_S2_L001_R1_001-2_S2_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00544,SRR30613798,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L002_R1_001.fastq.gz,unaligned reads,8.46,26223483770,26.22,0.521346,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-2-2_S2_L002_R1_001-2_S2_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00544,SRR30613787,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L003_R1_001.fastq.gz,unaligned reads,8.5,26343216176,26.34,0.505937,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-2-2_S2_L003_R1_001-2_S2_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00544,SRR30613715,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L004_R1_001.fastq.gz,unaligned reads,8.19,25383174741,25.38,0.500233,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-2-2_S2_L004_R1_001-2_S2_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613699,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L001_R1_001.fastq.gz,unaligned reads,5.01,15539181423,15.54,0.52783,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-1-1_S9_L001_R1_001-1_S9_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613637,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L002_R1_001.fastq.gz,unaligned reads,3.75,11618228831,11.62,0.577875,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-1-1_S9_L002_R1_001-1_S9_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613648,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L003_R1_001.fastq.gz,unaligned reads,3.94,12222236915,12.22,0.550621,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-1-1_S9_L003_R1_001-1_S9_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613901,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L004_R1_001.fastq.gz,unaligned reads,4.86,15069587773,15.07,0.539782,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-1-1_S9_L004_R1_001-1_S9_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613887,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L001_R1_001.fastq.gz,unaligned reads,4.18,12949249772,12.95,0.575816,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-2-2_S10_L001_R1_001-2_S10_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613621,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L002_R1_001.fastq.gz,unaligned reads,2.75,8513185331,8.51,0.611128,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-2-2_S10_L002_R1_001-2_S10_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613769,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L003_R1_001.fastq.gz,unaligned reads,3.11,9629510218,9.63,0.621931,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-2-2_S10_L003_R1_001-2_S10_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00609,SRR30613624,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L004_R1_001.fastq.gz,unaligned reads,4.03,12493735034,12.49,0.577953,HiC,Illumina Sequencing of Omni-C Libraries of HG00609,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00609-38a-2-2_S10_L004_R1_001-2_S10_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613615,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L001_R1_001.fastq.gz,unaligned reads,6.82,21128977021,21.13,0.484121,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-1-1_S9_L001_R1_001-1_S9_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613606,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L002_R1_001.fastq.gz,unaligned reads,6.67,20688069145,20.69,0.512407,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-1-1_S9_L002_R1_001-1_S9_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613873,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L003_R1_001.fastq.gz,unaligned reads,6.67,20676101807,20.68,0.478242,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-1-1_S9_L003_R1_001-1_S9_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613860,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L004_R1_001.fastq.gz,unaligned reads,6.53,20231917492,20.23,0.463337,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-1-1_S9_L004_R1_001-1_S9_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613753,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L001_R1_001.fastq.gz,unaligned reads,5.98,18552268209,18.55,0.488832,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-2-2_S10_L001_R1_001-2_S10_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613744,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L002_R1_001.fastq.gz,unaligned reads,5.86,18169055248,18.17,0.500443,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-2-2_S10_L002_R1_001-2_S10_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613694,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L003_R1_001.fastq.gz,unaligned reads,5.87,18199440590,18.2,0.494904,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-2-2_S10_L003_R1_001-2_S10_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00642,SRR30613683,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L004_R1_001.fastq.gz,unaligned reads,5.72,17742358903,17.74,0.489863,HiC,Illumina Sequencing of Omni-C Libraries of HG00642,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00642-33b-2-2_S10_L004_R1_001-2_S10_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613600,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-1_S7_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L001_R1_001.fastq.gz,unaligned reads,10.83,33571212335,33.57,0.504847,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-1-1_S7_L001_R1_001-1_S7_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613586,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-1_S7_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L002_R1_001.fastq.gz,unaligned reads,10.1,31295353877,31.3,0.496394,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-1-1_S7_L002_R1_001-1_S7_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613671,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-1_S7_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L003_R1_001.fastq.gz,unaligned reads,9.9,30677836995,30.68,0.46421,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-1-1_S7_L003_R1_001-1_S7_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613844,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-1_S7_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L004_R1_001.fastq.gz,unaligned reads,10.86,33657736867,33.66,0.479003,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-1-1_S7_L004_R1_001-1_S7_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613841,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-2_S8_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L001_R1_001.fastq.gz,unaligned reads,10.8,33494020868,33.49,0.464912,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-2-2_S8_L001_R1_001-2_S8_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613840,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-2_S8_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L002_R1_001.fastq.gz,unaligned reads,10.49,32506555844,32.51,0.441177,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-2-2_S8_L002_R1_001-2_S8_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613839,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-2_S8_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L003_R1_001.fastq.gz,unaligned reads,10.27,31843782777,31.84,0.49911,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-2-2_S8_L003_R1_001-2_S8_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00706,SRR30613838,SRP305758,PRJNA701308,SAMN37706905,HG00706-30b-2_S8_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L004_R1_001.fastq.gz,unaligned reads,10.95,33950462941,33.95,0.463297,HiC,Illumina Sequencing of Omni-C Libraries of HG00706,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00706-30b-2-2_S8_L004_R1_001-2_S8_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00738,SRR30613836,SRP305758,PRJNA701308,SAMN26237493,HG00738-27a-1_S5_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L001_R1_001.fastq.gz,unaligned reads,5.93,18367769859,18.37,0.523334,HiC,Illumina Sequencing of Omni-C Libraries of HG00738,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00738-27a-1-1_S5_L001_R1_001-1_S5_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00738,SRR30613580,SRP305758,PRJNA701308,SAMN26237493,HG00738-27a-1_S5_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L002_R1_001.fastq.gz,unaligned reads,4.97,15415024940,15.42,0.504746,HiC,Illumina Sequencing of Omni-C Libraries of HG00738,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00738-27a-1-1_S5_L002_R1_001-1_S5_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00738,SRR30613835,SRP305758,PRJNA701308,SAMN26237493,HG00738-27a-1_S5_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L003_R1_001.fastq.gz,unaligned reads,4.94,15325726571,15.33,0.541099,HiC,Illumina Sequencing of Omni-C Libraries of HG00738,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00738-27a-1-1_S5_L003_R1_001-1_S5_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00738,SRR30613834,SRP305758,PRJNA701308,SAMN26237493,HG00738-27a-1_S5_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L004_R1_001.fastq.gz,unaligned reads,5.78,17922615302,17.92,0.540128,HiC,Illumina Sequencing of Omni-C Libraries of HG00738,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00738-27a-1-1_S5_L004_R1_001-1_S5_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
