biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN26267378		paternal		Assembly of HG00642 paternal haplotype.		HG00642.hap1_for_genbank.fa.gz	2024-09	HG00642_pat_hprc_f2	Hifiasm	0.19.7	65X	"PacBio, Oxford Nanopore"		
SAMN26267379		paternal		Assembly of HG01346 paternal haplotype.		HG01346.hap1_for_genbank.fa.gz	2024-09	HG01346_pat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26267383		paternal		Assembly of HG02647 paternal haplotype.		HG02647.hap1_for_genbank.fa.gz	2024-09	HG02647_pat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
SAMN26237514		paternal		Assembly of HG03831 paternal haplotype.		HG03831.hap1_for_genbank.fa.gz	2024-09	HG03831_pat_hprc_f2	Hifiasm	0.19.7	76X	"PacBio, Oxford Nanopore"		
SAMN26237501		paternal		Assembly of HG01993 paternal haplotype.		HG01993.hap1_for_genbank.fa.gz	2024-09	HG01993_pat_hprc_f2	Hifiasm	0.19.7	72X	"PacBio, Oxford Nanopore"		
SAMN26237496		paternal		Assembly of HG01433 paternal haplotype.		HG01433.hap1_for_genbank.fa.gz	2024-09	HG01433_pat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26267397		paternal		Assembly of HG04184 paternal haplotype.		HG04184.hap1_for_genbank.fa.gz	2024-09	HG04184_pat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26267384		paternal		Assembly of HG02683 paternal haplotype.		HG02683.hap1_for_genbank.fa.gz	2024-09	HG02683_pat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26267395		paternal		Assembly of HG02300 paternal haplotype.		HG02300.hap1_for_genbank.fa.gz	2024-09	HG02300_pat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN26267396		paternal		Assembly of HG02738 paternal haplotype.		HG02738.hap1_for_genbank.fa.gz	2024-09	HG02738_pat_hprc_f2	Hifiasm	0.19.7	67X	"PacBio, Oxford Nanopore"		
SAMN26267393		paternal		Assembly of HG01884 paternal haplotype.		HG01884.hap1_for_genbank.fa.gz	2024-09	HG01884_pat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
SAMN26237497		paternal		Assembly of HG01496 paternal haplotype.		HG01496.hap1_for_genbank.fa.gz	2024-09	HG01496_pat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26237492		paternal		Assembly of HG00609 paternal haplotype.		HG00609.hap1_for_genbank.fa.gz	2024-09	HG00609_pat_hprc_f2	Hifiasm	0.19.7	69X	"PacBio, Oxford Nanopore"		
SAMN26237500		paternal		Assembly of HG01981 paternal haplotype.		HG01981.hap1_for_genbank.fa.gz	2024-09	HG01981_pat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26237502		paternal		Assembly of HG02004 paternal haplotype.		HG02004.hap1_for_genbank.fa.gz	2024-09	HG02004_pat_hprc_f2	Hifiasm	0.19.7	64X	"PacBio, Oxford Nanopore"		
SAMN26237505		paternal		Assembly of HG02280 paternal haplotype.		HG02280.hap1_for_genbank.fa.gz	2024-09	HG02280_pat_hprc_f2	Hifiasm	0.19.7	71X	"PacBio, Oxford Nanopore"		
SAMN26237494		paternal		Assembly of HG01099 paternal haplotype.		HG01099.hap1_for_genbank.fa.gz	2024-09	HG01099_pat_hprc_f2	Hifiasm	0.19.7	64X	"PacBio, Oxford Nanopore"		
SAMN26267394		paternal		Assembly of HG02293 paternal haplotype.		HG02293.hap1_for_genbank.fa.gz	2024-09	HG02293_pat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN33758795		paternal		Assembly of HG03704 paternal haplotype.		HG03704.hap1_for_genbank.fa.gz	2024-09	HG03704_pat_hprc_f2	Hifiasm	0.19.7	57X	"PacBio, Oxford Nanopore"		
SAMN33758786		paternal		Assembly of HG02451 paternal haplotype.		HG02451.hap1_for_genbank.fa.gz	2024-09	HG02451_pat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26237503		maternal		Assembly of HG02027 maternal haplotype.		HG02027.hap2_for_genbank.fa.gz	2024-09	HG02027_mat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26237504		maternal		Assembly of HG02083 maternal haplotype.		HG02083.hap2_for_genbank.fa.gz	2024-09	HG02083_mat_hprc_f2	Hifiasm	0.19.7	65X	"PacBio, Oxford Nanopore"		
SAMN26237506		maternal		Assembly of HG02523 maternal haplotype.		HG02523.hap2_for_genbank.fa.gz	2024-09	HG02523_mat_hprc_f2	Hifiasm	0.19.7	66X	"PacBio, Oxford Nanopore"		
SAMN26267382		maternal		Assembly of HG02132 maternal haplotype.		HG02132.hap2_for_genbank.fa.gz	2024-09	HG02132_mat_hprc_f2	Hifiasm	0.19.7	67X	"PacBio, Oxford Nanopore"		
SAMN26237513		maternal		Assembly of HG03710 maternal haplotype.		HG03710.hap2_for_genbank.fa.gz	2024-09	HG03710_mat_hprc_f2	Hifiasm	0.19.7	77X	"PacBio, Oxford Nanopore"		
SAMN26237511		maternal		Assembly of HG03654 maternal haplotype.		HG03654.hap2_for_genbank.fa.gz	2024-09	HG03654_mat_hprc_f2	Hifiasm	0.19.7	66X	"PacBio, Oxford Nanopore"		
SAMN26237509		maternal		Assembly of HG02698 maternal haplotype.		HG02698.hap2_for_genbank.fa.gz	2024-09	HG02698_mat_hprc_f2	Hifiasm	0.19.7	71X	"PacBio, Oxford Nanopore"		
SAMN26267385		maternal		Assembly of HG03688 maternal haplotype.		HG03688.hap2_for_genbank.fa.gz	2024-09	HG03688_mat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN26267389		maternal		Assembly of HG04199 maternal haplotype.		HG04199.hap2_for_genbank.fa.gz	2024-09	HG04199_mat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26267388		maternal		Assembly of HG04115 maternal haplotype.		HG04115.hap2_for_genbank.fa.gz	2024-09	HG04115_mat_hprc_f2	Hifiasm	0.19.7	69X	"PacBio, Oxford Nanopore"		
SAMN26237512		maternal		Assembly of HG03669 maternal haplotype.		HG03669.hap2_for_genbank.fa.gz	2024-09	HG03669_mat_hprc_f2	Hifiasm	0.19.7	72X	"PacBio, Oxford Nanopore"		
SAMN26237495		maternal		Assembly of HG01255 maternal haplotype.		HG01255.hap2_for_genbank.fa.gz	2024-09	HG01255_mat_hprc_f2	Hifiasm	0.19.7	70X	"PacBio, Oxford Nanopore"		
SAMN26237508		maternal		Assembly of HG02615 maternal haplotype.		HG02615.hap2_for_genbank.fa.gz	2024-09	HG02615_mat_hprc_f2	Hifiasm	0.19.7	71X	"PacBio, Oxford Nanopore"		
SAMN26237493		maternal		Assembly of HG00738 maternal haplotype.		HG00738.hap2_for_genbank.fa.gz	2024-09	HG00738_mat_hprc_f2	Hifiasm	0.19.7	69X	"PacBio, Oxford Nanopore"		
SAMN26267386		maternal		Assembly of HG03927 maternal haplotype.		HG03927.hap2_for_genbank.fa.gz	2024-09	HG03927_mat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
SAMN26267378		maternal		Assembly of HG00642 maternal haplotype.		HG00642.hap2_for_genbank.fa.gz	2024-09	HG00642_mat_hprc_f2	Hifiasm	0.19.7	65X	"PacBio, Oxford Nanopore"		
SAMN26267379		maternal		Assembly of HG01346 maternal haplotype.		HG01346.hap2_for_genbank.fa.gz	2024-09	HG01346_mat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26267383		maternal		Assembly of HG02647 maternal haplotype.		HG02647.hap2_for_genbank.fa.gz	2024-09	HG02647_mat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
SAMN26237514		maternal		Assembly of HG03831 maternal haplotype.		HG03831.hap2_for_genbank.fa.gz	2024-09	HG03831_mat_hprc_f2	Hifiasm	0.19.7	76X	"PacBio, Oxford Nanopore"		
SAMN26237501		maternal		Assembly of HG01993 maternal haplotype.		HG01993.hap2_for_genbank.fa.gz	2024-09	HG01993_mat_hprc_f2	Hifiasm	0.19.7	72X	"PacBio, Oxford Nanopore"		
SAMN26237496		maternal		Assembly of HG01433 maternal haplotype.		HG01433.hap2_for_genbank.fa.gz	2024-09	HG01433_mat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26267397		maternal		Assembly of HG04184 maternal haplotype.		HG04184.hap2_for_genbank.fa.gz	2024-09	HG04184_mat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26267384		maternal		Assembly of HG02683 maternal haplotype.		HG02683.hap2_for_genbank.fa.gz	2024-09	HG02683_mat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26267395		maternal		Assembly of HG02300 maternal haplotype.		HG02300.hap2_for_genbank.fa.gz	2024-09	HG02300_mat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN26267396		maternal		Assembly of HG02738 maternal haplotype.		HG02738.hap2_for_genbank.fa.gz	2024-09	HG02738_mat_hprc_f2	Hifiasm	0.19.7	67X	"PacBio, Oxford Nanopore"		
SAMN26267393		maternal		Assembly of HG01884 maternal haplotype.		HG01884.hap2_for_genbank.fa.gz	2024-09	HG01884_mat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
SAMN26237497		maternal		Assembly of HG01496 maternal haplotype.		HG01496.hap2_for_genbank.fa.gz	2024-09	HG01496_mat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26237492		maternal		Assembly of HG00609 maternal haplotype.		HG00609.hap2_for_genbank.fa.gz	2024-09	HG00609_mat_hprc_f2	Hifiasm	0.19.7	69X	"PacBio, Oxford Nanopore"		
SAMN26237500		maternal		Assembly of HG01981 maternal haplotype.		HG01981.hap2_for_genbank.fa.gz	2024-09	HG01981_mat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
SAMN26237502		maternal		Assembly of HG02004 maternal haplotype.		HG02004.hap2_for_genbank.fa.gz	2024-09	HG02004_mat_hprc_f2	Hifiasm	0.19.7	64X	"PacBio, Oxford Nanopore"		
SAMN26237505		maternal		Assembly of HG02280 maternal haplotype.		HG02280.hap2_for_genbank.fa.gz	2024-09	HG02280_mat_hprc_f2	Hifiasm	0.19.7	71X	"PacBio, Oxford Nanopore"		
SAMN26237494		maternal		Assembly of HG01099 maternal haplotype.		HG01099.hap2_for_genbank.fa.gz	2024-09	HG01099_mat_hprc_f2	Hifiasm	0.19.7	64X	"PacBio, Oxford Nanopore"		
SAMN26267394		maternal		Assembly of HG02293 maternal haplotype.		HG02293.hap2_for_genbank.fa.gz	2024-09	HG02293_mat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN33758795		maternal		Assembly of HG03704 maternal haplotype.		HG03704.hap2_for_genbank.fa.gz	2024-09	HG03704_mat_hprc_f2	Hifiasm	0.19.7	57X	"PacBio, Oxford Nanopore"		
SAMN33758786		maternal		Assembly of HG02451 maternal haplotype.		HG02451.hap2_for_genbank.fa.gz	2024-09	HG02451_mat_hprc_f2	Hifiasm	0.19.7	63X	"PacBio, Oxford Nanopore"		
