biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN33758797		haplotype 1		Assembly of NA18747 haplotype 1.		NA18747.hap1_for_genbank.fa.gz	2024-09	NA18747_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN33758796		haplotype 1		Assembly of NA18522 haplotype 1.		NA18522.hap1_for_genbank.fa.gz	2024-09	NA18522_hap1_hprc_f2	Hifiasm	0.19.9	67X	"PacBio, Oxford Nanopore"		
SAMN33758779		haplotype 1		Assembly of HG00280 haplotype 1.		HG00280.hap1_for_genbank.fa.gz	2024-09	HG00280_hap1_hprc_f2	Hifiasm	0.19.9	67X	"PacBio, Oxford Nanopore"		
SAMN33621941		haplotype 1		Assembly of HG00140 haplotype 1.		HG00140.hap1_for_genbank.fa.gz	2024-09	HG00140_hap1_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33621955		haplotype 1		Assembly of HG02976 haplotype 1.		HG02976.hap1_for_genbank.fa.gz	2024-09	HG02976_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN33621956		haplotype 1		Assembly of HG03195 haplotype 1.		HG03195.hap1_for_genbank.fa.gz	2024-09	HG03195_hap1_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN33758799		haplotype 1		Assembly of NA19043 haplotype 1.		NA19043.hap1_for_genbank.fa.gz	2024-09	NA19043_hap1_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33621953		haplotype 1		Assembly of HG02273 haplotype 1.		HG02273.hap1_for_genbank.fa.gz	2024-09	HG02273_hap1_hprc_f2	Hifiasm	0.19.9	57X	"PacBio, Oxford Nanopore"		
SAMN33758788		haplotype 1		Assembly of HG02922 haplotype 1.		HG02922.hap1_for_genbank.fa.gz	2024-09	HG02922_hap1_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN33758801		haplotype 2		Assembly of NA20905 haplotype 2.		NA20905.hap2_for_genbank.fa.gz	2024-09	NA20905_hap2_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33758785		haplotype 2		Assembly of HG02165 haplotype 2.		HG02165.hap2_for_genbank.fa.gz	2024-09	HG02165_hap2_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN33758798		haplotype 2		Assembly of NA18983 haplotype 2.		NA18983.hap2_for_genbank.fa.gz	2024-09	NA18983_hap2_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN33758784		haplotype 2		Assembly of HG02040 haplotype 2.		HG02040.hap2_for_genbank.fa.gz	2024-09	HG02040_hap2_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN33621954		haplotype 2		Assembly of HG02965 haplotype 2.		HG02965.hap2_for_genbank.fa.gz	2024-09	HG02965_hap2_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN33758778		haplotype 2		Assembly of HG00099 haplotype 2.		HG00099.hap2_for_genbank.fa.gz	2024-09	HG00099_hap2_hprc_f2	Hifiasm	0.19.9	74X	"PacBio, Oxford Nanopore"		
SAMN33621962		haplotype 2		Assembly of NA20805 haplotype 2.		NA20805.hap2_for_genbank.fa.gz	2024-09	NA20805_hap2_hprc_f2	Hifiasm	0.19.9	58X	"PacBio, Oxford Nanopore"		
SAMN33621942		haplotype 2		Assembly of HG00323 haplotype 2.		HG00323.hap2_for_genbank.fa.gz	2024-09	HG00323_hap2_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN33621961		haplotype 2		Assembly of NA18971 haplotype 2.		NA18971.hap2_for_genbank.fa.gz	2024-09	NA18971_hap2_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN33621951		haplotype 2		Assembly of HG02155 haplotype 2.		HG02155.hap2_for_genbank.fa.gz	2024-09	HG02155_hap2_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN33758792		haplotype 2		Assembly of HG03139 haplotype 2.		HG03139.hap2_for_genbank.fa.gz	2024-09	HG03139_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN33758791		haplotype 2		Assembly of HG03130 haplotype 2.		HG03130.hap2_for_genbank.fa.gz	2024-09	HG03130_hap2_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN33758793		haplotype 2		Assembly of HG03209 haplotype 2.		HG03209.hap2_for_genbank.fa.gz	2024-09	HG03209_hap2_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN33758797		haplotype 2		Assembly of NA18747 haplotype 2.		NA18747.hap2_for_genbank.fa.gz	2024-09	NA18747_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN33758796		haplotype 2		Assembly of NA18522 haplotype 2.		NA18522.hap2_for_genbank.fa.gz	2024-09	NA18522_hap2_hprc_f2	Hifiasm	0.19.9	67X	"PacBio, Oxford Nanopore"		
SAMN33758779		haplotype 2		Assembly of HG00280 haplotype 2.		HG00280.hap2_for_genbank.fa.gz	2024-09	HG00280_hap2_hprc_f2	Hifiasm	0.19.9	67X	"PacBio, Oxford Nanopore"		
SAMN33621941		haplotype 2		Assembly of HG00140 haplotype 2.		HG00140.hap2_for_genbank.fa.gz	2024-09	HG00140_hap2_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33621955		haplotype 2		Assembly of HG02976 haplotype 2.		HG02976.hap2_for_genbank.fa.gz	2024-09	HG02976_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN33621956		haplotype 2		Assembly of HG03195 haplotype 2.		HG03195.hap2_for_genbank.fa.gz	2024-09	HG03195_hap2_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN33758799		haplotype 2		Assembly of NA19043 haplotype 2.		NA19043.hap2_for_genbank.fa.gz	2024-09	NA19043_hap2_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33621953		haplotype 2		Assembly of HG02273 haplotype 2.		HG02273.hap2_for_genbank.fa.gz	2024-09	HG02273_hap2_hprc_f2	Hifiasm	0.19.9	57X	"PacBio, Oxford Nanopore"		
SAMN33758788		haplotype 2		Assembly of HG02922 haplotype 2.		HG02922.hap2_for_genbank.fa.gz	2024-09	HG02922_hap2_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
