biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN41021629	NA21106	haplotype 1		Assembly of NA21106 haplotype 1.		NA21106.hap1_for_genbank.fa.gz	2024-09	NA21106_hap1_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021636	HG00321	haplotype 1		Assembly of HG00321 haplotype 1.		HG00321.hap1_for_genbank.fa.gz	2024-09	HG00321_hap1_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021633	HG01786	haplotype 1		Assembly of HG01786 haplotype 1.		HG01786.hap1_for_genbank.fa.gz	2024-09	HG01786_hap1_hprc_f2	Hifiasm	0.19.9	74X	"PacBio, Oxford Nanopore"		
SAMN41021657	HG02583	haplotype 1		Assembly of HG02583 haplotype 1.		HG02583.hap1_for_genbank.fa.gz	2024-09	HG02583_hap1_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN41021625	HG03874	haplotype 1		Assembly of HG03874 haplotype 1.		HG03874.hap1_for_genbank.fa.gz	2024-09	HG03874_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021640	NA19443	haplotype 1		Assembly of NA19443 haplotype 1.		NA19443.hap1_for_genbank.fa.gz	2024-09	NA19443_hap1_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021637	HG00126	haplotype 2		Assembly of HG00126 haplotype 2.		HG00126.hap2_for_genbank.fa.gz	2024-09	HG00126_hap2_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN41021641	HG00128	haplotype 2		Assembly of HG00128 haplotype 2.		HG00128.hap2_for_genbank.fa.gz	2024-09	HG00128_hap2_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN41021638	HG00133	haplotype 2		Assembly of HG00133 haplotype 2.		HG00133.hap2_for_genbank.fa.gz	2024-09	HG00133_hap2_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN41021634	HG00146	haplotype 2		Assembly of HG00146 haplotype 2.		HG00146.hap2_for_genbank.fa.gz	2024-09	HG00146_hap2_hprc_f2	Hifiasm	0.19.9	73X	"PacBio, Oxford Nanopore"		
SAMN41021635	HG00232	haplotype 2		Assembly of HG00232 haplotype 2.		HG00232.hap2_for_genbank.fa.gz	2024-09	HG00232_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021639	HG00290	haplotype 2		Assembly of HG00290 haplotype 2.		HG00290.hap2_for_genbank.fa.gz	2024-09	HG00290_hap2_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021632	HG00320	haplotype 2		Assembly of HG00320 haplotype 2.		HG00320.hap2_for_genbank.fa.gz	2024-09	HG00320_hap2_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN41021616	HG00867	haplotype 2		Assembly of HG00867 haplotype 2.		HG00867.hap2_for_genbank.fa.gz	2024-09	HG00867_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021617	HG02178	haplotype 2		Assembly of HG02178 haplotype 2.		HG02178.hap2_for_genbank.fa.gz	2024-09	HG02178_hap2_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021615	HG02392	haplotype 2		Assembly of HG02392 haplotype 2.		HG02392.hap2_for_genbank.fa.gz	2024-09	HG02392_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021631	HG03270	haplotype 2		Assembly of HG03270 haplotype 2.		HG03270.hap2_for_genbank.fa.gz	2024-09	HG03270_hap2_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN41021645	HG03583	haplotype 2		Assembly of HG03583 haplotype 2.		HG03583.hap2_for_genbank.fa.gz	2024-09	HG03583_hap2_hprc_f2	Hifiasm	0.19.9	57X	"PacBio, Oxford Nanopore"		
SAMN41021643	NA18505	haplotype 2		Assembly of NA18505 haplotype 2.		NA18505.hap2_for_genbank.fa.gz	2024-09	NA18505_hap2_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021619	NA18608	haplotype 2		Assembly of NA18608 haplotype 2.		NA18608.hap2_for_genbank.fa.gz	2024-09	NA18608_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021618	NA18620	haplotype 2		Assembly of NA18620 haplotype 2.		NA18620.hap2_for_genbank.fa.gz	2024-09	NA18620_hap2_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN41021621	NA18952	haplotype 2		Assembly of NA18952 haplotype 2.		NA18952.hap2_for_genbank.fa.gz	2024-09	NA18952_hap2_hprc_f2	Hifiasm	0.19.9	76X	"PacBio, Oxford Nanopore"		
SAMN41021620	NA18974	haplotype 2		Assembly of NA18974 haplotype 2.		NA18974.hap2_for_genbank.fa.gz	2024-09	NA18974_hap2_hprc_f2	Hifiasm	0.19.9	82X	"PacBio, Oxford Nanopore"		
SAMN41021622	NA18976	haplotype 2		Assembly of NA18976 haplotype 2.		NA18976.hap2_for_genbank.fa.gz	2024-09	NA18976_hap2_hprc_f2	Hifiasm	0.19.9	73X	"PacBio, Oxford Nanopore"		
SAMN41021642	NA19036	haplotype 2		Assembly of NA19036 haplotype 2.		NA19036.hap2_for_genbank.fa.gz	2024-09	NA19036_hap2_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN41021623	NA20870	haplotype 2		Assembly of NA20870 haplotype 2.		NA20870.hap2_for_genbank.fa.gz	2024-09	NA20870_hap2_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN41021624	NA21110	haplotype 2		Assembly of NA21110 haplotype 2.		NA21110.hap2_for_genbank.fa.gz	2024-09	NA21110_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021626	NA18508	haplotype 2		Assembly of NA18508 haplotype 2.		NA18508.hap2_for_genbank.fa.gz	2024-09	NA18508_hap2_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021612	NA19700	haplotype 2		Assembly of NA19700 haplotype 2.		NA19700.hap2_for_genbank.fa.gz	2024-09	NA19700_hap2_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021627	NA21093	haplotype 2		Assembly of NA21093 haplotype 2.		NA21093.hap2_for_genbank.fa.gz	2024-09	NA21093_hap2_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021629	NA21106	haplotype 2		Assembly of NA21106 haplotype 2.		NA21106.hap2_for_genbank.fa.gz	2024-09	NA21106_hap2_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021636	HG00321	haplotype 2		Assembly of HG00321 haplotype 2.		HG00321.hap2_for_genbank.fa.gz	2024-09	HG00321_hap2_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021633	HG01786	haplotype 2		Assembly of HG01786 haplotype 2.		HG01786.hap2_for_genbank.fa.gz	2024-09	HG01786_hap2_hprc_f2	Hifiasm	0.19.9	74X	"PacBio, Oxford Nanopore"		
SAMN41021657	HG02583	haplotype 2		Assembly of HG02583 haplotype 2.		HG02583.hap2_for_genbank.fa.gz	2024-09	HG02583_hap2_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN41021625	HG03874	haplotype 2		Assembly of HG03874 haplotype 2.		HG03874.hap2_for_genbank.fa.gz	2024-09	HG03874_hap2_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021640	NA19443	haplotype 2		Assembly of NA19443 haplotype 2.		NA19443.hap2_for_genbank.fa.gz	2024-09	NA19443_hap2_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
